constrains,content,difficulty,external_link,images,input,input_example,note,output,output_example,title
,"There are  n  stones on the table in a row, each of them can be red, green or blue. Count the minimum number of stones to take from the table so that any two neighboring stones had different colors. Stones in a row are considered neighboring if there are no other stones between them.",800,https://codeforces.com/problemset/problem/266/A,,"The first line contains integer n (1 ≤ n ≤ 50) — the number of stones on the table. The next line contains string s, which represents the colors of the stones. We'll consider the stones in the row numbered from 1 to n from left to right. Then the i-th character s equals ""R"", if the i-th stone is red, ""G"", if it's green and ""B"", if it's blue.","The first line contains integer n (1 ≤ n ≤ 50) — the number of stones on the table. The next line contains string s, which represents the colors of the stones. We'll consider the stones in the row numbered from 1 to n from left to right. Then the i-th character s equals ""R"", if the i-th stone is red, ""G"", if it's green and ""B"", if it's blue.",,Print a single integer — the answer to the problem.,Print a single integer — the answer to the problem.,A. Stones on the Table
,"Those days, many boys use beautiful girls' photos as avatars in forums. So it is pretty hard to tell the gender of a user at the first glance. Last year, our hero went to a forum and had a nice chat with a beauty (he thought so). After that they talked very often and eventually they became a couple in the network.  But yesterday, he came to see ""her"" in the real world and found out ""she"" is actually a very strong man! Our hero is very sad and he is too tired to love again now. So he came up with a way to recognize users' genders by their user names. This is his method: if the number of distinct characters in one's user name is odd, then he is a male, otherwise she is a female. You are given the string that denotes the user name, please help our hero to determine the gender of this user by his method.",800,https://codeforces.com/problemset/problem/236/A,,"The first line contains a non-empty string, that contains only lowercase English letters — the user name. This string contains at most 100 letters.","The first line contains a non-empty string, that contains only lowercase English letters — the user name. This string contains at most 100 letters.","For the first example. There are 6 distinct characters in "" wjmzbmr "". These characters are: "" w "", "" j "", "" m "", "" z "", "" b "", "" r "". So wjmzbmr is a female and you should print "" CHAT WITH HER! "".","If it is a female by our hero's method, print ""CHAT WITH HER!"" (without the quotes), otherwise, print ""IGNORE HIM!"" (without the quotes).","If it is a female by our hero's method, print ""CHAT WITH HER!"" (without the quotes), otherwise, print ""IGNORE HIM!"" (without the quotes).",A. Boy or Girl
,"Capitalization is writing a word with its first letter as a capital letter. Your task is to capitalize the given word. Note, that during capitalization all the letters except the first one remains unchanged.",800,https://codeforces.com/problemset/problem/281/A,,A single line contains a non-empty word. This word consists of lowercase and uppercase English letters. The length of the word will not exceed 103.,A single line contains a non-empty word. This word consists of lowercase and uppercase English letters. The length of the word will not exceed 103.,,Output the given word after capitalization.,Output the given word after capitalization.,A. Word Capitalization
,"Petya started to attend programming lessons. On the first lesson his task was to write a simple program. The program was supposed to do the following: in the given string, consisting if uppercase and lowercase Latin letters, it:     deletes all the vowels,   inserts a character "" . "" before each consonant,   replaces all uppercase consonants with corresponding lowercase ones.  Vowels are letters ""A"", ""O"", ""Y"", ""E"", ""U"", ""I"", and the rest are consonants. The program's input is exactly one string, it should return the output as a single string, resulting after the program's processing the initial string. Help Petya cope with this easy task.",1000,https://codeforces.com/problemset/problem/118/A,,"The first line represents input string of Petya's program. This string only consists of uppercase and lowercase Latin letters and its length is from 1 to 100, inclusive.","The first line represents input string of Petya's program. This string only consists of uppercase and lowercase Latin letters and its length is from 1 to 100, inclusive.",,Print the resulting string. It is guaranteed that this string is not empty.,Print the resulting string. It is guaranteed that this string is not empty.,A. String Task
,"Petya loves lucky numbers. We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits  4  and  7 . For example, numbers  47 ,  744 ,  4  are lucky and  5 ,  17 ,  467  are not. Unfortunately, not all numbers are lucky. Petya calls a number  nearly lucky  if the number of lucky digits in it is a lucky number. He wonders whether number  n  is a nearly lucky number.",800,https://codeforces.com/problemset/problem/110/A,,"The only line contains an integer n (1 ≤ n ≤ 1018).Please do not use the %lld specificator to read or write 64-bit numbers in С++. It is preferred to use the cin, cout streams or the %I64d specificator.","The only line contains an integer n (1 ≤ n ≤ 1018).Please do not use the %lld specificator to read or write 64-bit numbers in С++. It is preferred to use the cin, cout streams or the %I64d specificator.","In the first sample there are 3 lucky digits (first one and last two), so the answer is "" NO "". In the second sample there are 7 lucky digits, 7 is lucky number, so the answer is "" YES "". In the third sample there are no lucky digits, so the answer is "" NO "".","Print on the single line ""YES"" if n is a nearly lucky number. Otherwise, print ""NO"" (without the quotes).","Print on the single line ""YES"" if n is a nearly lucky number. Otherwise, print ""NO"" (without the quotes).",A. Nearly Lucky Number
,"Xenia the beginner mathematician is a third year student at elementary school. She is now learning the addition operation. The teacher has written down the sum of multiple numbers. Pupils should calculate the sum. To make the calculation easier, the sum only contains numbers 1, 2 and 3. Still, that isn't enough for Xenia. She is only beginning to count, so she can calculate a sum only if the summands follow in non-decreasing order. For example, she can't calculate sum 1+3+2+1 but she can calculate sums 1+1+2 and 3+3. You've got the sum that was written on the board. Rearrange the summans and print the sum in such a way that Xenia can calculate the sum.",800,https://codeforces.com/problemset/problem/339/A,,"The first line contains a non-empty string s — the sum Xenia needs to count. String s contains no spaces. It only contains digits and characters ""+"". Besides, string s is a correct sum of numbers 1, 2 and 3. String s is at most 100 characters long.","The first line contains a non-empty string s — the sum Xenia needs to count. String s contains no spaces. It only contains digits and characters ""+"". Besides, string s is a correct sum of numbers 1, 2 and 3. String s is at most 100 characters long.",,Print the new sum that Xenia can count.,Print the new sum that Xenia can count.,A. Helpful Maths
,"Little girl Tanya is learning how to decrease a number by one, but she does it wrong with a number consisting of two or more digits. Tanya subtracts one from a number by the following algorithm:    if the last digit of the number is non-zero, she decreases the number by one;   if the last digit of the number is zero, she divides the number by 10 (i.e. removes the last digit).  You are given an integer number $$$n$$$. Tanya will subtract one from it $$$k$$$ times. Your task is to print the result after all $$$k$$$ subtractions. It is guaranteed that the result will be positive integer number.",800,https://codeforces.com/problemset/problem/977/A,,"The first line of the input contains two integer numbers $$$n$$$ and $$$k$$$ ($$$2 \le n \le 10^9$$$, $$$1 \le k \le 50$$$) — the number from which Tanya will subtract and the number of subtractions correspondingly.","The first line of the input contains two integer numbers $$$n$$$ and $$$k$$$ ($$$2 \le n \le 10^9$$$, $$$1 \le k \le 50$$$) — the number from which Tanya will subtract and the number of subtractions correspondingly.",The first example corresponds to the following sequence: $$$512 \rightarrow 511 \rightarrow 510 \rightarrow 51 \rightarrow 50$$$.,Print one integer number — the result of the decreasing $$$n$$$ by one $$$k$$$ times.It is guaranteed that the result will be positive integer number. ,Print one integer number — the result of the decreasing $$$n$$$ by one $$$k$$$ times.It is guaranteed that the result will be positive integer number. ,A. Wrong Subtraction
,"Vasya is very upset that many people on the Net mix uppercase and lowercase letters in one word. That's why he decided to invent an extension for his favorite browser that would change the letters' register in every word so that it either only consisted of lowercase letters or, vice versa, only of uppercase ones. At that as little as possible letters should be changed in the word. For example, the word  HoUse  must be replaced with  house , and the word  ViP  — with  VIP . If a word contains an equal number of uppercase and lowercase letters, you should replace all the letters with lowercase ones. For example,  maTRIx  should be replaced by  matrix . Your task is to use the given method on one given word.",800,https://codeforces.com/problemset/problem/59/A,,The first line contains a word s — it consists of uppercase and lowercase Latin letters and possesses the length from 1 to 100.,The first line contains a word s — it consists of uppercase and lowercase Latin letters and possesses the length from 1 to 100.,,"Print the corrected word s. If the given word s has strictly more uppercase letters, make the word written in the uppercase register, otherwise - in the lowercase one.","Print the corrected word s. If the given word s has strictly more uppercase letters, make the word written in the uppercase register, otherwise - in the lowercase one.",A. Word
,"Petya loves football very much. One day, as he was watching a football match, he was writing the players' current positions on a piece of paper. To simplify the situation he depicted it as a string consisting of zeroes and ones. A zero corresponds to players of one team; a one corresponds to players of another team. If there are at least  7  players of some team standing one after another, then the situation is considered dangerous. For example, the situation  00100110111111101  is dangerous and  11110111011101  is not. You are given the current situation. Determine whether it is dangerous or not.",900,https://codeforces.com/problemset/problem/96/A,,"The first input line contains a non-empty string consisting of characters ""0"" and ""1"", which represents players. The length of the string does not exceed 100 characters. There's at least one player from each team present on the field.","The first input line contains a non-empty string consisting of characters ""0"" and ""1"", which represents players. The length of the string does not exceed 100 characters. There's at least one player from each team present on the field.",,"Print ""YES"" if the situation is dangerous. Otherwise, print ""NO"".","Print ""YES"" if the situation is dangerous. Otherwise, print ""NO"".",A. Football
,"An elephant decided to visit his friend. It turned out that the elephant's house is located at point  0  and his friend's house is located at point  x ( x  > 0)  of the coordinate line. In one step the elephant can move  1 ,  2 ,  3 ,  4  or  5  positions forward. Determine, what is the minimum number of steps he need to make in order to get to his friend's house.",800,https://codeforces.com/problemset/problem/617/A,,The first line of the input contains an integer x (1 ≤ x ≤ 1 000 000) — The coordinate of the friend's house.,The first line of the input contains an integer x (1 ≤ x ≤ 1 000 000) — The coordinate of the friend's house.,"In the first sample the elephant needs to make one step of length  5  to reach the point  x . In the second sample the elephant can get to point  x  if he moves by  3 ,  5  and  4 . There are other ways to get the optimal answer but the elephant cannot reach  x  in less than three moves.",Print the minimum number of steps that elephant needs to make to get from point 0 to point x.,Print the minimum number of steps that elephant needs to make to get from point 0 to point x.,A. Elephant
,"A guy named Vasya attends the final grade of a high school. One day Vasya decided to watch a match of his favorite hockey team. And, as the boy loves hockey very much, even more than physics, he forgot to do the homework. Specifically, he forgot to complete his physics tasks. Next day the teacher got very angry at Vasya and decided to teach him a lesson. He gave the lazy student a seemingly easy task: You are given an idle body in space and the forces that affect it. The body can be considered as a material point with coordinates (0; 0; 0). Vasya had only to answer whether it is in equilibrium. ""Piece of cake"" — thought Vasya, we need only to check if the sum of all vectors is equal to 0. So, Vasya began to solve the problem. But later it turned out that there can be lots and lots of these forces, and Vasya can not cope without your help. Help him. Write a program that determines whether a body is idle or is moving by the given vectors of forces.",1000,https://codeforces.com/problemset/problem/69/A,,"The first line contains a positive integer n (1 ≤ n ≤ 100), then follow n lines containing three integers each: the xi coordinate, the yi coordinate and the zi coordinate of the force vector, applied to the body ( - 100 ≤ xi, yi, zi ≤ 100).","The first line contains a positive integer n (1 ≤ n ≤ 100), then follow n lines containing three integers each: the xi coordinate, the yi coordinate and the zi coordinate of the force vector, applied to the body ( - 100 ≤ xi, yi, zi ≤ 100).",,"Print the word ""YES"" if the body is in equilibrium, or the word ""NO"" if it is not.","Print the word ""YES"" if the body is in equilibrium, or the word ""NO"" if it is not.",A. Young Physicist
,"A soldier wants to buy  w  bananas in the shop. He has to pay  k  dollars for the first banana,  2 k  dollars for the second one and so on (in other words, he has to pay  i · k  dollars for the  i -th banana).  He has  n  dollars. How many dollars does he have to borrow from his friend soldier to buy  w  bananas?",800,https://codeforces.com/problemset/problem/546/A,,"The first line contains three positive integers k, n, w (1  ≤  k, w  ≤  1000, 0 ≤ n ≤ 109), the cost of the first banana, initial number of dollars the soldier has and number of bananas he wants. ","The first line contains three positive integers k, n, w (1  ≤  k, w  ≤  1000, 0 ≤ n ≤ 109), the cost of the first banana, initial number of dollars the soldier has and number of bananas he wants. ",,"Output one integer — the amount of dollars that the soldier must borrow from his friend. If he doesn't have to borrow money, output 0.","Output one integer — the amount of dollars that the soldier must borrow from his friend. If he doesn't have to borrow money, output 0.",A. Soldier and Bananas
,"It seems like the year of 2013 came only yesterday. Do you know a curious fact? The year of 2013 is the first year after the old 1987 with only distinct digits. Now you are suggested to solve the following problem: given a year number, find the minimum year number which is strictly larger than the given one and has only distinct digits.",800,https://codeforces.com/problemset/problem/271/A,,The single line contains integer y (1000 ≤ y ≤ 9000) — the year number.,The single line contains integer y (1000 ≤ y ≤ 9000) — the year number.,,Print a single integer — the minimum year number that is strictly larger than y and all it's digits are distinct. It is guaranteed that the answer exists.,Print a single integer — the minimum year number that is strictly larger than y and all it's digits are distinct. It is guaranteed that the answer exists.,A. Beautiful Year
,"Vasya has recently learned to type and log on to the Internet. He immediately entered a chat room and decided to say hello to everybody. Vasya typed the word  s . It is considered that Vasya managed to say hello if several letters can be deleted from the typed word so that it resulted in the word "" hello "". For example, if Vasya types the word "" ahhellllloou "", it will be considered that he said hello, and if he types "" hlelo "", it will be considered that Vasya got misunderstood and he didn't manage to say hello. Determine whether Vasya managed to say hello by the given word  s .",1000,https://codeforces.com/problemset/problem/58/A,,"The first and only line contains the word s, which Vasya typed. This word consisits of small Latin letters, its length is no less that 1 and no more than 100 letters.","The first and only line contains the word s, which Vasya typed. This word consisits of small Latin letters, its length is no less that 1 and no more than 100 letters.",,"If Vasya managed to say hello, print ""YES"", otherwise print ""NO"".","If Vasya managed to say hello, print ""YES"", otherwise print ""NO"".",A. Chat room
,"The translation from the Berland language into the Birland language is not an easy task. Those languages are very similar: a berlandish word differs from a birlandish word with the same meaning a little: it is spelled (and pronounced) reversely. For example, a Berlandish word  code  corresponds to a Birlandish word  edoc . However, it's easy to make a mistake during the «translation». Vasya translated word  s  from Berlandish into Birlandish as  t . Help him: find out if he translated the word correctly.",800,https://codeforces.com/problemset/problem/41/A,,"The first line contains word s, the second line contains word t. The words consist of lowercase Latin letters. The input data do not consist unnecessary spaces. The words are not empty and their lengths do not exceed 100 symbols.","The first line contains word s, the second line contains word t. The words consist of lowercase Latin letters. The input data do not consist unnecessary spaces. The words are not empty and their lengths do not exceed 100 symbols.",,"If the word t is a word s, written reversely, print YES, otherwise print NO.","If the word t is a word s, written reversely, print YES, otherwise print NO.",A. Translation
,"Anton likes to play chess, and so does his friend Danik. Once they have played  n  games in a row. For each game it's known who was the winner — Anton or Danik. None of the games ended with a tie. Now Anton wonders, who won more games, he or Danik? Help him determine this.",800,https://codeforces.com/problemset/problem/734/A,,"The first line of the input contains a single integer n (1 ≤ n ≤ 100 000) — the number of games played.The second line contains a string s, consisting of n uppercase English letters 'A' and 'D' — the outcome of each of the games. The i-th character of the string is equal to 'A' if the Anton won the i-th game and 'D' if Danik won the i-th game.","The first line of the input contains a single integer n (1 ≤ n ≤ 100 000) — the number of games played.The second line contains a string s, consisting of n uppercase English letters 'A' and 'D' — the outcome of each of the games. The i-th character of the string is equal to 'A' if the Anton won the i-th game and 'D' if Danik won the i-th game.","In the first sample, Anton won  6  games, while Danik — only  1 . Hence, the answer is "" Anton "". In the second sample, Anton won  3  games and Danik won  4  games, so the answer is "" Danik "". In the third sample, both Anton and Danik won  3  games and the answer is "" Friendship "".","If Anton won more games than Danik, print ""Anton"" (without quotes) in the only line of the output.If Danik won more games than Anton, print ""Danik"" (without quotes) in the only line of the output.If Anton and Danik won the same number of games, print ""Friendship"" (without quotes).","If Anton won more games than Danik, print ""Anton"" (without quotes) in the only line of the output.If Danik won more games than Anton, print ""Danik"" (without quotes) in the only line of the output.If Anton and Danik won the same number of games, print ""Friendship"" (without quotes).",A. Anton and Danik
,"During the break the schoolchildren, boys and girls, formed a queue of  n  people in the canteen. Initially the children stood in the order they entered the canteen. However, after a while the boys started feeling awkward for standing in front of the girls in the queue and they started letting the girls move forward each second.  Let's describe the process more precisely. Let's say that the positions in the queue are sequentially numbered by integers from  1  to  n , at that the person in the position number  1  is served first. Then, if at time  x  a boy stands on the  i -th position and a girl stands on the  ( i  + 1) -th position, then at time  x  + 1  the  i -th position will have a girl and the  ( i  + 1) -th position will have a boy. The time is given in seconds. You've got the initial position of the children, at the initial moment of time. Determine the way the queue is going to look after  t  seconds.",800,https://codeforces.com/problemset/problem/266/B,,"The first line contains two integers n and t (1 ≤ n, t ≤ 50), which represent the number of children in the queue and the time after which the queue will transform into the arrangement you need to find. The next line contains string s, which represents the schoolchildren's initial arrangement. If the i-th position in the queue contains a boy, then the i-th character of string s equals ""B"", otherwise the i-th character equals ""G"".","The first line contains two integers n and t (1 ≤ n, t ≤ 50), which represent the number of children in the queue and the time after which the queue will transform into the arrangement you need to find. The next line contains string s, which represents the schoolchildren's initial arrangement. If the i-th position in the queue contains a boy, then the i-th character of string s equals ""B"", otherwise the i-th character equals ""G"".",,"Print string a, which describes the arrangement after t seconds. If the i-th position has a boy after the needed time, then the i-th character a must equal ""B"", otherwise it must equal ""G"".","Print string a, which describes the arrangement after t seconds. If the i-th position has a boy after the needed time, then the i-th character a must equal ""B"", otherwise it must equal ""G"".",B. Queue at the School
,"Linear Kingdom has exactly one tram line. It has  n  stops, numbered from  1  to  n  in the order of tram's movement. At the  i -th stop  a i  passengers exit the tram, while  b i  passengers enter it. The tram is empty before it arrives at the first stop. Also, when the tram arrives at the last stop, all passengers exit so that it becomes empty. Your task is to calculate the tram's minimum capacity such that the number of people inside the tram at any time never exceeds this capacity. Note that at each stop all exiting passengers exit  before  any entering passenger enters the tram.",800,https://codeforces.com/problemset/problem/116/A,,"The first line contains a single number n (2 ≤ n ≤ 1000) — the number of the tram's stops. Then n lines follow, each contains two integers ai and bi (0 ≤ ai, bi ≤ 1000) — the number of passengers that exits the tram at the i-th stop, and the number of passengers that enter the tram at the i-th stop. The stops are given from the first to the last stop in the order of tram's movement.","The first line contains a single number n (2 ≤ n ≤ 1000) — the number of the tram's stops. Then n lines follow, each contains two integers ai and bi (0 ≤ ai, bi ≤ 1000) — the number of passengers that exits the tram at the i-th stop, and the number of passengers that enter the tram at the i-th stop. The stops are given from the first to the last stop in the order of tram's movement.","For the first example, a capacity of 6 is sufficient:  Since the number of passengers inside the tram never exceeds 6, a capacity of 6 is sufficient. Furthermore it is not possible for the tram to have a capacity less than 6. Hence, 6 is the correct answer.",Print a single integer denoting the minimum possible capacity of the tram (0 is allowed).,Print a single integer denoting the minimum possible capacity of the tram (0 is allowed).,A. Tram
